seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
90,3331105,completed,1785302128.503,1785302129.845,843.102,844.444,1.342
91,3729978,completed,1785302128.916,1785302130.547,843.515,845.146,1.631
92,3082034,completed,1785302129.333,1785302130.799,843.932,845.398,1.466
93,3184093,completed,1785302129.523,1785302131.413,844.122,846.012,1.890
94,3563163,completed,1785302129.804,1785302131.497,844.403,846.096,1.693
95,4042189,completed,1785302129.978,1785302133.759,844.577,848.358,3.781
96,3071532,completed,1785302130.466,1785302133.820,845.065,848.419,3.354
97,3430448,completed,1785302130.650,1785302132.964,845.249,847.563,2.314
98,2956566,completed,1785302131.116,1785302133.935,845.715,848.534,2.819
99,2833582,completed,1785302131.756,1785302133.430,846.354,848.028,1.674
100,3973398,completed,1785302132.051,1785302134.905,846.649,849.503,2.854
101,4481926,completed,1785302132.856,1785302134.438,847.455,849.037,1.582
102,3887267,completed,1785302133.588,1785302135.326,848.187,849.925,1.738
103,3110910,completed,1785302133.866,1785302136.081,848.464,850.679,2.215
104,2872664,completed,1785302134.726,1785302136.099,849.325,850.698,1.373
105,3280081,completed,1785302135.473,1785302137.485,850.072,852.084,2.012
106,3878770,completed,1785302136.050,1785302138.570,850.648,853.168,2.520
107,4428482,completed,1785302136.906,1785302138.464,851.505,853.063,1.558
108,3593341,completed,1785302138.096,1785302139.745,852.694,854.343,1.649
109,3388603,completed,1785302138.706,1785302140.555,853.305,855.154,1.849
110,3071478,completed,1785302138.827,1785302141.155,853.426,855.754,2.328
111,2509610,completed,1785302139.767,1785302141.426,854.365,856.024,1.659
112,3126159,completed,1785302140.244,1785302142.199,854.843,856.798,1.955
113,4242517,completed,1785302140.716,1785302143.097,855.315,857.696,2.381
114,3704922,completed,1785302141.042,1785302143.748,855.641,858.347,2.706
115,2777584,completed,1785302141.380,1785302144.180,855.978,858.778,2.800
116,3699979,completed,1785302142.401,1785302144.179,856.999,858.777,1.778
117,4141361,completed,1785302142.924,1785302146.543,857.523,861.142,3.619
118,3465048,completed,1785302143.038,1785302144.755,857.636,859.353,1.717
119,3000096,completed,1785302143.985,1785302145.588,858.584,860.187,1.603
120,2984480,completed,1785302144.418,1785302146.824,859.017,861.423,2.406
121,3034251,completed,1785302144.796,1785302146.448,859.394,861.046,1.652
122,3556235,completed,1785302145.099,1785302146.872,859.697,861.470,1.773
123,3779676,completed,1785302145.532,1785302147.897,860.131,862.496,2.365
124,3663312,completed,1785302145.948,1785302148.316,860.546,862.914,2.368
125,2289591,completed,1785302146.387,1785302148.052,860.986,862.651,1.665
126,4331031,completed,1785302147.092,1785302148.754,861.691,863.353,1.662
127,3363409,completed,1785302147.684,1785302150.732,862.283,865.331,3.048
128,3599128,completed,1785302147.933,1785302150.189,862.532,864.788,2.256
129,3087490,completed,1785302148.274,1785302150.257,862.873,864.856,1.983
130,4448417,completed,1785302148.969,1785302195.616,863.567,910.214,46.647
131,3575691,completed,1785302149.301,1785302151.403,863.900,866.002,2.102
132,3743904,completed,1785302150.047,1785302152.675,864.646,867.274,2.628
133,3490826,completed,1785302150.776,1785302164.263,865.375,878.862,13.487
134,3913416,completed,1785302151.378,1785302154.828,865.977,869.427,3.450
135,4339034,completed,1785302152.751,1785302154.555,867.350,869.154,1.804
136,4350380,completed,1785302154.015,1785302156.809,868.614,871.408,2.794
137,2919823,completed,1785302156.083,1785302156.939,870.682,871.538,0.856
138,2863283,completed,1785302157.528,1785302158.680,872.126,873.278,1.152
139,2396931,completed,1785302159.060,1785302181.178,873.659,895.777,22.118
140,4071093,completed,1785302159.495,1785302171.547,874.094,886.146,12.052
141,3409820,completed,1785302159.792,1785302181.809,874.391,896.408,22.017
142,4011339,completed,1785302160.123,1785302172.882,874.722,887.481,12.759
143,3307107,completed,1785302160.805,1785302173.309,875.403,887.907,12.504
144,4405809,completed,1785302161.320,1785302184.516,875.919,899.115,23.196
145,4495546,completed,1785302161.780,1785302184.488,876.379,899.087,22.708
146,2461292,completed,1785302162.631,1785302168.240,877.230,882.839,5.609
147,3234231,completed,1785302163.109,1785302164.813,877.708,879.412,1.704
148,3861980,completed,1785302163.364,1785302168.650,877.963,883.249,5.286
149,4236110,completed,1785302163.915,1785302165.555,878.513,880.153,1.640
150,2810091,completed,1785302164.462,1785302185.406,879.061,900.005,20.944
151,3409844,completed,1785302165.303,1785302175.713,879.902,890.312,10.410
152,3859474,completed,1785302165.633,1785302181.903,880.232,896.502,16.270
153,3637244,completed,1785302165.955,1785302169.042,880.554,883.641,3.087
154,2278700,completed,1785302166.208,1785302173.324,880.807,887.923,7.116
155,2389807,completed,1785302166.416,1785302181.212,881.014,895.810,14.796
156,2358102,completed,1785302166.613,1785302183.902,881.211,898.500,17.289
157,3712582,completed,1785302166.892,1785302180.005,881.491,894.604,13.113
158,4244794,completed,1785302167.148,1785302182.737,881.747,897.336,15.589
159,4441954,completed,1785302167.379,1785302182.288,881.978,896.887,14.909
160,2448809,completed,1785302167.983,1785302182.814,882.582,897.413,14.831
161,3178261,completed,1785302168.372,1785302183.174,882.971,897.773,14.802
162,3442247,completed,1785302169.040,1785302182.315,883.639,896.914,13.275
163,4017950,completed,1785302169.335,1785302210.593,883.934,925.192,41.258
164,4485630,completed,1785302170.128,1785302182.101,884.727,896.700,11.973
165,3514723,completed,1785302170.619,1785302182.952,885.218,897.551,12.333
166,2823169,completed,1785302170.922,1785302179.698,885.520,894.296,8.776
167,3832717,completed,1785302171.276,1785302184.432,885.875,899.031,13.156
168,3131338,completed,1785302171.704,1785302173.414,886.303,888.013,1.710
169,2748680,completed,1785302172.993,1785302177.280,887.592,891.879,4.287
170,3040799,completed,1785302173.441,1785302188.681,888.040,903.280,15.240
171,2867009,completed,1785302174.138,1785302186.498,888.737,901.097,12.360
172,4290729,completed,1785302174.434,1785302183.042,889.033,897.641,8.608
173,2828354,completed,1785302174.748,1785302182.397,889.347,896.996,7.649
174,4183459,completed,1785302175.740,1785302183.006,890.339,897.605,7.266
175,3166517,completed,1785302176.104,1785302184.278,890.703,898.877,8.174
176,4220128,completed,1785302176.264,1785302182.327,890.863,896.926,6.063
177,4078393,completed,1785302176.732,1785302184.365,891.331,898.964,7.633
178,3135190,completed,1785302177.624,1785302188.262,892.223,902.861,10.638
179,3226025,completed,1785302178.073,1785302185.181,892.672,899.780,7.108
180,3803105,completed,1785302178.352,1785302186.708,892.951,901.307,8.356
181,2698661,completed,1785302178.558,1785302189.363,893.157,903.962,10.805
182,3171725,completed,1785302178.859,1785302182.986,893.457,897.584,4.127
183,2902128,completed,1785302179.604,1785302184.768,894.203,899.367,5.164
