seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
90,3331105,completed,1783538201.351,1783538202.796,843.101,844.546,1.445
91,3729978,completed,1783538201.765,1783538203.796,843.515,845.546,2.031
92,3082034,completed,1783538202.182,1783538204.144,843.931,845.893,1.962
93,3184093,completed,1783538202.372,1783538205.837,844.122,847.587,3.465
94,3563163,completed,1783538202.652,1783538204.656,844.402,846.406,2.004
95,4042189,completed,1783538202.826,1783538207.254,844.576,849.004,4.428
96,3071532,completed,1783538203.314,1783538207.496,845.064,849.246,4.182
97,3430448,completed,1783538203.499,1783538205.701,845.249,847.451,2.202
98,2956566,completed,1783538203.963,1783538207.205,845.713,848.955,3.242
99,2833582,completed,1783538204.604,1783538206.328,846.354,848.078,1.724
100,3973398,completed,1783538204.899,1783538207.866,846.649,849.616,2.967
101,4481926,completed,1783538205.706,1783538207.391,847.455,849.140,1.685
102,3887267,completed,1783538206.438,1783538208.077,848.187,849.826,1.639
103,3110910,completed,1783538206.715,1783538208.930,848.465,850.680,2.215
104,2872664,completed,1783538207.577,1783538208.962,849.326,850.711,1.385
105,3280081,completed,1783538208.322,1783538209.850,850.072,851.600,1.528
106,3878770,completed,1783538208.898,1783538211.430,850.648,853.180,2.532
107,4428482,completed,1783538209.755,1783538210.989,851.505,852.739,1.234
108,3593341,completed,1783538210.945,1783538212.337,852.695,854.087,1.392
109,3388603,completed,1783538211.555,1783538212.620,853.305,854.370,1.065
110,3071478,completed,1783538211.676,1783538213.013,853.426,854.763,1.337
111,2509610,completed,1783538212.616,1783538214.032,854.366,855.782,1.416
112,3126159,completed,1783538213.094,1783538214.969,854.843,856.718,1.875
113,4242517,completed,1783538213.565,1783538215.148,855.315,856.898,1.583
114,3704922,completed,1783538213.891,1783538217.460,855.641,859.210,3.569
115,2777584,completed,1783538214.228,1783538217.920,855.978,859.670,3.692
116,3699979,completed,1783538215.251,1783538217.459,857.001,859.209,2.208
117,4141361,completed,1783538215.773,1783538217.808,857.523,859.558,2.035
118,3465048,completed,1783538215.887,1783538217.768,857.637,859.518,1.881
119,3000096,completed,1783538216.833,1783538218.608,858.583,860.358,1.775
120,2984480,completed,1783538217.267,1783538219.747,859.017,861.497,2.480
121,3034251,completed,1783538217.644,1783538219.495,859.394,861.245,1.851
122,3556235,completed,1783538217.947,1783538219.737,859.697,861.487,1.790
123,3779676,completed,1783538218.381,1783538220.782,860.131,862.532,2.401
124,3663312,completed,1783538218.797,1783538220.643,860.547,862.393,1.846
125,2289591,completed,1783538219.236,1783538221.023,860.986,862.773,1.787
126,4331031,completed,1783538219.941,1783538221.274,861.691,863.024,1.333
127,3363409,completed,1783538220.533,1783538224.383,862.283,866.133,3.850
128,3599128,completed,1783538220.781,1783538221.959,862.531,863.709,1.178
129,3087490,completed,1783538221.123,1783538224.149,862.873,865.899,3.026
130,4448417,completed,1783538221.819,1783538270.736,863.568,912.485,48.917
131,3575691,completed,1783538222.151,1783538224.790,863.901,866.540,2.639
132,3743904,completed,1783538222.896,1783538225.691,864.645,867.440,2.795
133,3490826,completed,1783538223.625,1783538227.650,865.375,869.400,4.025
134,3913416,completed,1783538224.226,1783538228.649,865.976,870.399,4.423
135,4339034,completed,1783538225.599,1783538227.630,867.349,869.380,2.031
136,4350380,completed,1783538226.863,1783538230.245,868.613,871.995,3.382
137,2919823,completed,1783538228.932,1783538230.210,870.682,871.960,1.278
138,2863283,completed,1783538230.376,1783538231.691,872.126,873.441,1.315
139,2396931,completed,1783538231.909,1783538241.763,873.659,883.513,9.854
140,4071093,completed,1783538232.345,1783538238.500,874.095,880.250,6.155
141,3409820,completed,1783538232.641,1783538240.447,874.391,882.197,7.806
142,4011339,completed,1783538232.972,1783538242.778,874.722,884.528,9.806
143,3307107,completed,1783538233.654,1783538244.119,875.404,885.869,10.465
144,4405809,completed,1783538234.170,1783538246.838,875.919,888.587,12.668
145,4495546,completed,1783538234.628,1783538248.038,876.378,889.788,13.410
146,2461292,completed,1783538235.479,1783538243.486,877.229,885.236,8.007
147,3234231,completed,1783538235.958,1783538240.444,877.708,882.194,4.486
148,3861980,completed,1783538236.213,1783538241.763,877.963,883.513,5.550
149,4236110,completed,1783538236.765,1783538242.048,878.514,883.797,5.283
150,2810091,completed,1783538237.311,1783538269.907,879.060,911.656,32.596
151,3409844,completed,1783538238.151,1783538252.980,879.901,894.730,14.829
152,3859474,completed,1783538238.483,1783538261.262,880.233,903.012,22.779
153,3637244,completed,1783538238.804,1783538242.357,880.554,884.107,3.553
154,2278700,completed,1783538239.056,1783538245.617,880.806,887.367,6.561
155,2389807,completed,1783538239.264,1783538266.558,881.014,908.308,27.294
156,2358102,completed,1783538239.463,1783538262.869,881.213,904.619,23.406
157,3712582,completed,1783538239.741,1783538269.594,881.491,911.344,29.853
158,4244794,completed,1783538239.997,1783538255.651,881.747,897.401,15.654
159,4441954,completed,1783538240.228,1783538246.527,881.977,888.276,6.299
160,2448809,completed,1783538240.833,1783538254.690,882.582,896.439,13.857
161,3178261,completed,1783538241.221,1783538264.672,882.971,906.422,23.451
162,3442247,completed,1783538241.887,1783538267.552,883.637,909.302,25.665
163,4017950,completed,1783538242.183,1783538282.607,883.933,924.357,40.424
164,4485630,completed,1783538242.978,1783538269.643,884.728,911.393,26.665
165,3514723,completed,1783538243.468,1783538274.640,885.218,916.390,31.172
166,2823169,completed,1783538243.772,1783538249.776,885.521,891.525,6.004
167,3832717,completed,1783538244.125,1783538265.044,885.874,906.793,20.919
168,3131338,completed,1783538244.553,1783538246.205,886.303,887.955,1.652
169,2748680,completed,1783538245.841,1783538252.630,887.591,894.380,6.789
170,3040799,completed,1783538246.290,1783538262.641,888.040,904.391,16.351
171,2867009,completed,1783538246.987,1783538261.914,888.736,903.663,14.927
172,4290729,completed,1783538247.283,1783538269.137,889.033,910.887,21.854
173,2828354,completed,1783538247.598,1783538254.931,889.348,896.681,7.333
174,4183459,completed,1783538248.589,1783538275.751,890.339,917.501,27.162
175,3166517,completed,1783538248.952,1783538264.951,890.702,906.701,15.999
176,4220128,completed,1783538249.113,1783538256.589,890.863,898.339,7.476
177,4078393,completed,1783538249.581,1783538274.819,891.331,916.569,25.238
178,3135190,completed,1783538250.475,1783538264.562,892.224,906.311,14.087
179,3226025,completed,1783538250.922,1783538275.626,892.672,917.376,24.704
180,3803105,completed,1783538251.201,1783538267.273,892.951,909.023,16.072
181,2698661,completed,1783538251.406,1783538272.746,893.156,914.496,21.340
182,3171725,completed,1783538251.709,1783538258.852,893.459,900.602,7.143
183,2902128,completed,1783538252.453,1783538269.927,894.203,911.677,17.474
184,3484321,completed,1783538253.498,1783538275.071,895.247,916.820,21.573
185,3010084,completed,1783538254.600,1783538260.614,896.350,902.364,6.014
186,2927794,completed,1783538255.594,1783538264.575,897.343,906.324,8.981
187,3127207,completed,1783538255.994,1783538277.433,897.744,919.183,21.439
188,3475779,completed,1783538257.336,1783538258.896,899.085,900.645,1.560
189,3590386,completed,1783538257.968,1783538259.546,899.718,901.296,1.578
190,4440221,completed,1783538258.520,1783538260.452,900.270,902.202,1.932
191,3652413,completed,1783538259.740,1783538275.334,901.490,917.084,15.594
192,3885101,completed,1783538260.321,1783538270.214,902.071,911.964,9.893
193,4394894,completed,1783538261.337,1783538263.514,903.087,905.264,2.177
194,2842284,completed,1783538262.832,1783538264.185,904.582,905.935,1.353
195,3730988,completed,1783538264.512,1783538269.663,906.262,911.413,5.151
196,3063194,completed,1783538265.631,1783538267.841,907.381,909.591,2.210
197,3152477,completed,1783538266.897,1783538270.152,908.646,911.901,3.255
198,3611968,completed,1783538268.348,1783538274.919,910.098,916.669,6.571
199,2793595,completed,1783538268.520,1783538270.174,910.270,911.924,1.654
200,4158341,completed,1783538268.874,1783538270.715,910.624,912.465,1.841
201,3272806,completed,1783538269.827,1783538274.842,911.577,916.592,5.015
202,3468935,completed,1783538270.437,1783538271.936,912.186,913.685,1.499
203,3953295,completed,1783538270.801,1783538272.309,912.551,914.059,1.508
204,4486128,completed,1783538271.447,1783538272.985,913.197,914.735,1.538
205,3201689,completed,1783538272.472,1783538275.241,914.222,916.991,2.769
206,4347082,completed,1783538273.389,1783538276.276,915.139,918.026,2.887
207,2780257,completed,1783538273.840,1783538277.211,915.590,918.961,3.371
208,3181050,completed,1783538274.424,1783538276.008,916.174,917.758,1.584
209,4242518,completed,1783538275.490,1783538277.018,917.240,918.768,1.528
210,4442835,completed,1783538277.021,1783538280.044,918.771,921.794,3.023
211,2785898,completed,1783538277.715,1783538279.746,919.464,921.495,2.031
212,2949118,completed,1783538278.392,1783538281.199,920.142,922.949,2.807
213,4099956,completed,1783538278.710,1783538282.341,920.460,924.091,3.631
214,4062238,completed,1783538279.799,1783538281.510,921.549,923.260,1.711
215,2998089,completed,1783538280.407,1783538282.071,922.157,923.821,1.664
216,3903428,completed,1783538280.795,1783538282.272,922.545,924.022,1.477
217,3773193,completed,1783538281.110,1783538282.623,922.860,924.373,1.513
218,2804638,completed,1783538281.619,1783538283.042,923.368,924.791,1.423
219,3200261,completed,1783538281.913,1783538283.018,923.663,924.768,1.105
220,2904262,completed,1783538282.654,1783538288.894,924.404,930.644,6.240
221,2843816,completed,1783538283.153,1783538290.064,924.903,931.814,6.911
222,3910319,completed,1783538283.573,1783538290.624,925.323,932.374,7.051
223,3232273,completed,1783538284.053,1783538287.424,925.803,929.174,3.371
224,4101901,completed,1783538284.455,1783538290.933,926.204,932.682,6.478
225,2803829,completed,1783538284.889,1783538291.042,926.639,932.792,6.153
226,3272837,completed,1783538285.348,1783538290.996,927.097,932.745,5.648
227,3616888,completed,1783538286.039,1783538290.929,927.789,932.679,4.890
228,2967868,completed,1783538286.599,1783538291.871,928.349,933.621,5.272
229,2904743,completed,1783538286.864,1783538291.560,928.614,933.310,4.696
230,3051648,completed,1783538287.120,1783538289.866,928.869,931.615,2.746
231,3927662,completed,1783538287.885,1783538290.924,929.635,932.674,3.039
232,3210515,completed,1783538288.205,1783538290.136,929.955,931.886,1.931
233,3199000,completed,1783538288.877,1783538291.100,930.627,932.850,2.223
234,3446996,completed,1783538289.143,1783538292.459,930.893,934.209,3.316
235,4296462,completed,1783538290.181,1783538291.971,931.931,933.721,1.790
236,4344792,completed,1783538291.709,1783538293.023,933.459,934.773,1.314
237,3652466,completed,1783538293.048,1783538295.447,934.798,937.197,2.399
238,4076783,completed,1783538294.367,1783538296.042,936.117,937.792,1.675
239,4132621,completed,1783538295.727,1783538296.876,937.477,938.626,1.149
240,3058960,completed,1783538296.633,1783538297.736,938.383,939.486,1.103
241,3015752,completed,1783538297.523,1783538298.697,939.273,940.447,1.174
