seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
90,3331105,completed,1783545868.689,1783545869.812,163.320,164.443,1.123
91,3729978,completed,1783545869.813,1783545871.262,164.444,165.893,1.449
92,3082034,completed,1783545871.263,1783545872.575,165.893,167.205,1.312
93,3184093,completed,1783545872.575,1783545873.990,167.206,168.621,1.415
94,3563163,completed,1783545873.995,1783545875.386,168.626,170.017,1.391
95,4042189,completed,1783545875.386,1783545877.806,170.017,172.437,2.420
96,3071532,completed,1783545877.807,1783545879.630,172.438,174.261,1.823
97,3430448,completed,1783545879.634,1783545881.129,174.265,175.760,1.495
98,2956566,completed,1783545881.130,1783545883.573,175.760,178.203,2.443
99,2833582,completed,1783545883.573,1783545884.897,178.204,179.528,1.324
100,3973398,completed,1783545884.900,1783545886.862,179.531,181.493,1.962
101,4481926,completed,1783545886.863,1783545888.331,181.494,182.962,1.468
102,3887267,completed,1783545888.331,1783545889.746,182.962,184.377,1.415
103,3110910,completed,1783545889.747,1783545891.726,184.378,186.357,1.979
104,2872664,completed,1783545891.731,1783545893.050,186.361,187.680,1.319
105,3280081,completed,1783545893.050,1783545894.480,187.681,189.111,1.430
106,3878770,completed,1783545894.480,1783545896.888,189.111,191.519,2.408
107,4428482,completed,1783545896.892,1783545897.962,191.523,192.593,1.070
108,3593341,completed,1783545897.963,1783545899.426,192.594,194.057,1.463
109,3388603,completed,1783545899.426,1783545900.529,194.057,195.160,1.103
110,3071478,completed,1783545900.529,1783545901.929,195.160,196.560,1.400
111,2509610,completed,1783545901.934,1783545903.342,196.565,197.973,1.408
112,3126159,completed,1783545903.343,1783545904.889,197.974,199.520,1.546
113,4242517,completed,1783545904.890,1783545906.352,199.521,200.983,1.462
114,3704922,completed,1783545906.353,1783545908.346,200.984,202.977,1.993
115,2777584,completed,1783545908.351,1783545910.348,202.982,204.979,1.997
116,3699979,completed,1783545910.348,1783545911.488,204.979,206.119,1.140
117,4141361,completed,1783545911.488,1783545912.868,206.119,207.499,1.380
118,3465048,completed,1783545912.869,1783545914.315,207.500,208.946,1.446
119,3000096,completed,1783545914.320,1783545915.755,208.951,210.386,1.435
120,2984480,completed,1783545915.755,1783545917.802,210.386,212.433,2.047
121,3034251,completed,1783545917.803,1783545919.235,212.434,213.866,1.432
122,3556235,completed,1783545919.236,1783545920.743,213.866,215.373,1.507
123,3779676,completed,1783545920.747,1783545922.731,215.378,217.362,1.984
124,3663312,completed,1783545922.732,1783545923.907,217.363,218.538,1.175
125,2289591,completed,1783545923.907,1783545925.359,218.538,219.990,1.452
126,4331031,completed,1783545925.360,1783545926.456,219.991,221.087,1.096
127,3363409,completed,1783545926.461,1783545928.398,221.092,223.029,1.937
128,3599128,completed,1783545928.398,1783545929.496,223.029,224.127,1.098
129,3087490,completed,1783545929.497,1783545930.626,224.128,225.257,1.129
130,4448417,completed,1783545930.627,1783545939.166,225.258,233.797,8.539
131,3575691,completed,1783545939.171,1783545940.377,233.802,235.008,1.206
132,3743904,completed,1783545940.377,1783545941.093,235.008,235.724,0.716
133,3490826,completed,1783545941.094,1783545943.254,235.724,237.884,2.160
134,3913416,completed,1783545943.254,1783545945.297,237.885,239.928,2.043
135,4339034,completed,1783545945.302,1783545946.722,239.933,241.353,1.420
136,4350380,completed,1783545946.722,1783545949.058,241.353,243.689,2.336
137,2919823,completed,1783545949.059,1783545949.765,243.690,244.396,0.706
138,2863283,completed,1783545949.765,1783545950.871,244.396,245.502,1.106
139,2396931,completed,1783545950.874,1783545952.854,245.505,247.485,1.980
140,4071093,completed,1783545952.855,1783545954.069,247.485,248.699,1.214
141,3409820,completed,1783545954.069,1783545956.437,248.700,251.068,2.368
142,4011339,completed,1783545956.442,1783545958.878,251.073,253.509,2.436
143,3307107,completed,1783545958.879,1783545961.495,253.510,256.126,2.616
144,4405809,completed,1783545961.500,1783545963.422,256.131,258.053,1.922
145,4495546,completed,1783545963.423,1783545965.497,258.054,260.128,2.074
146,2461292,completed,1783545965.497,1783545966.579,260.128,261.210,1.082
147,3234231,completed,1783545966.584,1783545968.080,261.215,262.711,1.496
148,3861980,completed,1783545968.080,1783545969.255,262.711,263.886,1.175
149,4236110,completed,1783545969.256,1783545970.609,263.887,265.240,1.353
150,2810091,completed,1783545970.610,1783545971.931,265.241,266.562,1.321
151,3409844,completed,1783545971.933,1783545974.479,266.564,269.110,2.546
152,3859474,completed,1783545974.480,1783545976.955,269.111,271.586,2.475
153,3637244,completed,1783545976.958,1783545978.323,271.589,272.954,1.365
154,2278700,completed,1783545978.324,1783545979.477,272.955,274.108,1.153
155,2389807,completed,1783545979.477,1783545982.159,274.108,276.790,2.682
156,2358102,completed,1783545982.163,1783545984.374,276.794,279.005,2.211
157,3712582,completed,1783545984.374,1783545986.414,279.005,281.045,2.040
158,4244794,completed,1783545986.414,1783545988.781,281.045,283.412,2.367
159,4441954,completed,1783545988.785,1783545989.849,283.415,284.479,1.064
160,2448809,completed,1783545989.849,1783545991.804,284.480,286.435,1.955
161,3178261,completed,1783545991.805,1783545994.221,286.436,288.852,2.416
162,3442247,completed,1783545994.225,1783545996.626,288.856,291.257,2.401
163,4017950,completed,1783545996.627,1783546002.172,291.258,296.803,5.545
164,4485630,completed,1783546002.176,1783546004.587,296.807,299.218,2.411
165,3514723,completed,1783546004.587,1783546006.936,299.218,301.567,2.349
166,2823169,completed,1783546006.937,1783546008.088,301.568,302.719,1.151
167,3832717,completed,1783546008.092,1783546010.099,302.723,304.730,2.007
168,3131338,completed,1783546010.100,1783546011.564,304.731,306.195,1.464
169,2748680,completed,1783546011.564,1783546012.875,306.195,307.506,1.311
170,3040799,completed,1783546012.875,1783546015.219,307.506,309.850,2.344
171,2867009,completed,1783546015.224,1783546017.255,309.855,311.886,2.031
172,4290729,completed,1783546017.255,1783546019.613,311.886,314.244,2.358
173,2828354,completed,1783546019.614,1783546020.928,314.245,315.559,1.314
174,4183459,completed,1783546020.931,1783546022.896,315.562,317.527,1.965
175,3166517,completed,1783546022.897,1783546025.338,317.528,319.969,2.441
176,4220128,completed,1783546025.338,1783546026.646,319.969,321.277,1.308
177,4078393,completed,1783546026.650,1783546029.074,321.281,323.705,2.424
178,3135190,completed,1783546029.075,1783546031.007,323.706,325.638,1.932
179,3226025,completed,1783546031.008,1783546033.389,325.639,328.020,2.381
180,3803105,completed,1783546033.393,1783546035.341,328.024,329.972,1.948
181,2698661,completed,1783546035.341,1783546037.774,329.972,332.405,2.433
182,3171725,completed,1783546037.775,1783546039.164,332.406,333.795,1.389
183,2902128,completed,1783546039.168,1783546040.024,333.799,334.655,0.856
184,3484321,completed,1783546040.024,1783546041.990,334.655,336.621,1.966
185,3010084,completed,1783546041.990,1783546043.293,336.621,337.924,1.303
186,2927794,completed,1783546043.294,1783546045.699,337.925,340.330,2.405
187,3127207,completed,1783546045.703,1783546048.108,340.334,342.739,2.405
188,3475779,completed,1783546048.109,1783546049.263,342.740,343.894,1.154
189,3590386,completed,1783546049.263,1783546050.702,343.894,345.333,1.439
190,4440221,completed,1783546050.703,1783546052.111,345.334,346.742,1.408
191,3652413,completed,1783546052.114,1783546054.514,346.745,349.145,2.400
192,3885101,completed,1783546054.514,1783546055.311,349.145,349.942,0.797
193,4394894,completed,1783546055.312,1783546056.438,349.943,351.069,1.126
194,2842284,completed,1783546056.438,1783546057.571,351.069,352.202,1.133
195,3730988,completed,1783546057.575,1783546058.437,352.206,353.068,0.862
196,3063194,completed,1783546058.438,1783546059.789,353.069,354.420,1.351
197,3152477,completed,1783546059.789,1783546061.612,354.420,356.243,1.823
198,3611968,completed,1783546061.612,1783546063.558,356.243,358.189,1.946
199,2793595,completed,1783546063.562,1783546065.047,358.193,359.678,1.485
200,4158341,completed,1783546065.047,1783546066.511,359.678,361.142,1.464
201,3272806,completed,1783546066.511,1783546067.851,361.142,362.482,1.340
202,3468935,completed,1783546067.851,1783546069.168,362.482,363.799,1.317
203,3953295,completed,1783546069.172,1783546070.637,363.803,365.268,1.465
204,4486128,completed,1783546070.638,1783546071.815,365.269,366.446,1.177
205,3201689,completed,1783546071.815,1783546073.785,366.446,368.416,1.970
206,4347082,completed,1783546073.786,1783546074.971,368.416,369.601,1.185
207,2780257,completed,1783546074.974,1783546077.358,369.605,371.989,2.384
208,3181050,completed,1783546077.359,1783546078.809,371.990,373.440,1.450
209,4242518,completed,1783546078.810,1783546080.160,373.441,374.791,1.350
210,4442835,completed,1783546080.164,1783546081.588,374.795,376.219,1.424
211,2785898,completed,1783546081.589,1783546082.929,376.220,377.560,1.340
212,2949118,completed,1783546082.929,1783546084.951,377.560,379.582,2.022
213,4099956,completed,1783546084.951,1783546087.368,379.582,381.999,2.417
214,4062238,completed,1783546087.371,1783546088.851,382.002,383.482,1.480
215,2998089,completed,1783546088.851,1783546090.278,383.482,384.909,1.427
216,3903428,completed,1783546090.278,1783546091.628,384.909,386.259,1.350
217,3773193,completed,1783546091.629,1783546093.168,386.260,387.799,1.539
218,2804638,completed,1783546093.172,1783546094.493,387.803,389.124,1.321
219,3200261,completed,1783546094.493,1783546095.540,389.124,390.171,1.047
220,2904262,completed,1783546095.541,1783546096.621,390.172,391.252,1.080
221,2843816,completed,1783546096.621,1783546098.606,391.252,393.237,1.985
222,3910319,completed,1783546098.610,1783546100.994,393.241,395.625,2.384
223,3232273,completed,1783546100.995,1783546102.330,395.625,396.960,1.335
224,4101901,completed,1783546102.330,1783546103.998,396.961,398.629,1.668
225,2803829,completed,1783546104.002,1783546105.948,398.632,400.578,1.946
226,3272837,completed,1783546105.948,1783546107.869,400.579,402.500,1.921
227,3616888,completed,1783546107.870,1783546109.289,402.501,403.920,1.419
228,2967868,completed,1783546109.293,1783546111.285,403.924,405.916,1.992
229,2904743,completed,1783546111.285,1783546113.308,405.916,407.939,2.023
230,3051648,completed,1783546113.309,1783546114.623,407.940,409.254,1.314
231,3927662,completed,1783546114.626,1783546115.678,409.257,410.309,1.052
232,3210515,completed,1783546115.679,1783546117.043,410.310,411.674,1.364
233,3199000,completed,1783546117.043,1783546118.483,411.674,413.114,1.440
234,3446996,completed,1783546118.484,1783546120.470,413.115,415.101,1.986
235,4296462,completed,1783546120.474,1783546121.576,415.105,416.207,1.102
236,4344792,completed,1783546121.577,1783546122.687,416.208,417.318,1.110
237,3652466,completed,1783546122.687,1783546125.159,417.318,419.790,2.472
238,4076783,completed,1783546125.160,1783546126.887,419.791,421.518,1.727
239,4132621,completed,1783546126.891,1783546127.979,421.522,422.610,1.088
240,3058960,completed,1783546127.979,1783546129.115,422.610,423.746,1.136
241,3015752,completed,1783546129.115,1783546130.182,423.746,424.813,1.067
242,3901483,completed,1783546130.183,1783546131.587,424.814,426.218,1.404
243,3019871,completed,1783546131.588,1783546132.691,426.219,427.322,1.103
244,2823944,completed,1783546132.694,1783546135.159,427.325,429.790,2.465
245,3867432,completed,1783546135.160,1783546136.227,429.791,430.858,1.067
246,4248363,completed,1783546136.227,1783546138.181,430.858,432.812,1.954
247,2937483,completed,1783546138.184,1783546140.132,432.815,434.763,1.948
248,3927406,completed,1783546140.133,1783546142.206,434.764,436.837,2.073
249,3369120,completed,1783546142.207,1783546143.654,436.838,438.285,1.447
250,3979424,completed,1783546143.657,1783546145.618,438.288,440.249,1.961
251,3826527,completed,1783546145.619,1783546146.971,440.250,441.602,1.352
252,3339208,completed,1783546146.972,1783546148.374,441.603,443.005,1.402
253,3578474,completed,1783546148.374,1783546150.353,443.005,444.984,1.979
254,3050092,completed,1783546150.357,1783546151.569,444.988,446.200,1.212
255,4493293,completed,1783546151.570,1783546152.945,446.201,447.576,1.375
256,3347049,completed,1783546152.945,1783546154.259,447.576,448.890,1.314
257,3517050,completed,1783546154.260,1783546156.243,448.891,450.874,1.983
258,3337296,completed,1783546156.246,1783546157.598,450.877,452.229,1.352
259,2860414,completed,1783546157.599,1783546159.126,452.230,453.757,1.527
260,3895639,completed,1783546159.127,1783546161.573,453.757,456.203,2.446
261,3565271,completed,1783546161.575,1783546163.061,456.206,457.692,1.486
262,2878729,completed,1783546163.061,1783546164.216,457.692,458.847,1.155
263,2958747,completed,1783546164.217,1783546166.136,458.847,460.766,1.919
264,2756481,completed,1783546166.136,1783546167.539,460.767,462.170,1.403
265,3197726,completed,1783546167.542,1783546169.465,462.173,464.096,1.923
266,3248331,completed,1783546169.465,1783546171.465,464.096,466.096,2.000
267,3787816,completed,1783546171.465,1783546173.371,466.096,468.002,1.906
268,4143760,completed,1783546173.374,1783546175.354,468.005,469.985,1.980
269,3281037,completed,1783546175.355,1783546177.987,469.986,472.618,2.632
270,3080711,completed,1783546177.987,1783546179.937,472.618,474.568,1.950
271,4274919,completed,1783546179.941,1783546181.910,474.572,476.541,1.969
272,3932058,completed,1783546181.910,1783546183.835,476.541,478.466,1.925
273,3876034,completed,1783546183.836,1783546184.875,478.467,479.506,1.039
274,4316869,completed,1783546184.875,1783546186.079,479.506,480.710,1.204
275,3790948,completed,1783546186.084,1783546187.188,480.715,481.819,1.104
276,2942974,completed,1783546187.189,1783546188.613,481.820,483.244,1.424
277,2809832,completed,1783546188.614,1783546190.036,483.245,484.667,1.422
278,3680384,completed,1783546190.037,1783546191.109,484.668,485.740,1.072
279,2991811,completed,1783546191.112,1783546193.497,485.743,488.128,2.385
280,3209696,completed,1783546193.498,1783546195.440,488.128,490.070,1.942
281,3313131,completed,1783546195.440,1783546197.433,490.071,492.064,1.993
282,3051649,completed,1783546197.437,1783546198.117,492.068,492.748,0.680
283,3847291,completed,1783546198.118,1783546200.049,492.749,494.680,1.931
284,3004347,completed,1783546200.049,1783546203.129,494.680,497.760,3.080
285,3020726,completed,1783546203.133,1783546204.450,497.764,499.081,1.317
286,4078061,completed,1783546204.451,1783546205.439,499.082,500.070,0.988
287,3047299,completed,1783546205.439,1783546206.786,500.070,501.417,1.347
288,2793640,completed,1783546206.787,1783546209.186,501.418,503.817,2.399
289,4184374,completed,1783546209.190,1783546210.271,503.821,504.902,1.081
290,3885102,completed,1783546210.272,1783546211.600,504.902,506.230,1.328
291,4003802,completed,1783546211.600,1783546213.581,506.231,508.212,1.981
292,3639369,completed,1783546213.582,1783546215.563,508.213,510.194,1.981
293,2920383,completed,1783546215.568,1783546216.717,510.199,511.348,1.149
294,3004348,completed,1783546216.717,1783546217.766,511.348,512.397,1.049
295,2993920,completed,1783546217.767,1783546219.680,512.398,514.311,1.913
296,3055848,completed,1783546219.680,1783546220.791,514.311,515.422,1.111
297,3201874,completed,1783546220.796,1783546221.876,515.427,516.507,1.080
298,4464183,completed,1783546221.877,1783546223.320,516.508,517.951,1.443
299,3446997,completed,1783546223.321,1783546225.274,517.952,519.905,1.953
300,4361994,completed,1783546225.275,1783546227.175,519.905,521.805,1.900
301,3439326,completed,1783546227.178,1783546229.576,521.809,524.207,2.398
302,2926376,completed,1783546229.576,1783546231.494,524.207,526.125,1.918
303,3801012,completed,1783546231.495,1783546233.430,526.125,528.060,1.935
304,4190770,completed,1783546233.433,1783546235.328,528.063,529.958,1.895
305,4213884,completed,1783546235.328,1783546237.246,529.959,531.877,1.918
306,2726434,failed,1783546237.247,1783546237.249,531.878,531.880,0.002
307,3995948,completed,1783546237.250,1783546238.411,531.881,533.042,1.161
308,2762681,completed,1783546238.412,1783546240.735,533.043,535.366,2.323
309,3000120,completed,1783546240.737,1783546242.636,535.368,537.267,1.899
310,3280285,completed,1783546242.637,1783546244.529,537.268,539.160,1.892
311,4344793,completed,1783546244.530,1783546246.459,539.161,541.090,1.929
312,3360484,completed,1783546246.461,1783546248.781,541.092,543.412,2.320
313,4454502,completed,1783546248.781,1783546251.120,543.412,545.751,2.339
314,3338842,completed,1783546251.121,1783546252.582,545.752,547.213,1.461
315,2900024,completed,1783546252.584,1783546253.718,547.215,548.349,1.134
316,3493310,completed,1783546253.719,1783546254.550,548.350,549.181,0.831
317,4287631,completed,1783546254.550,1783546255.597,549.181,550.228,1.047
318,3223945,completed,1783546255.597,1783546257.097,550.228,551.728,1.500
319,4226809,completed,1783546257.098,1783546258.430,551.728,553.060,1.332
320,2925823,completed,1783546258.432,1783546259.860,553.062,554.490,1.428
321,3995973,completed,1783546259.860,1783546263.387,554.491,558.018,3.527
322,2841352,completed,1783546263.388,1783546265.324,558.019,559.955,1.936
323,3296055,completed,1783546265.327,1783546267.705,559.958,562.336,2.378
324,2855248,completed,1783546267.706,1783546269.765,562.336,564.395,2.059
325,4110087,completed,1783546269.765,1783546271.751,564.396,566.382,1.986
326,2790227,completed,1783546271.754,1783546273.758,566.385,568.389,2.004
327,3032255,completed,1783546273.758,1783546275.733,568.389,570.364,1.975
328,4202768,completed,1783546275.734,1783546276.900,570.365,571.531,1.166
329,3802605,completed,1783546276.905,1783546278.959,571.536,573.590,2.054
330,2873291,completed,1783546278.960,1783546280.896,573.591,575.527,1.936
331,2974216,completed,1783546280.896,1783546282.036,575.527,576.667,1.140
332,3134186,completed,1783546282.040,1783546283.104,576.671,577.735,1.064
333,4329401,completed,1783546283.105,1783546284.445,577.736,579.076,1.340
334,3962992,completed,1783546284.446,1783546285.618,579.077,580.249,1.172
335,4502582,completed,1783546285.618,1783546286.851,580.249,581.482,1.233
336,3461248,completed,1783546286.852,1783546288.389,581.483,583.020,1.537
337,2873340,completed,1783546288.393,1783546290.365,583.024,584.996,1.972
338,3758797,completed,1783546290.365,1783546292.351,584.996,586.982,1.986
339,3534494,completed,1783546292.352,1783546293.553,586.983,588.184,1.201
340,4109424,completed,1783546293.557,1783546294.642,588.188,589.273,1.085
341,3555457,completed,1783546294.642,1783546295.726,589.273,590.357,1.084
342,4353754,completed,1783546295.727,1783546296.817,590.358,591.448,1.090
343,4198189,completed,1783546296.817,1783546297.864,591.448,592.495,1.047
344,3637299,completed,1783546297.865,1783546299.878,592.495,594.508,2.013
345,3392855,completed,1783546299.881,1783546300.978,594.512,595.609,1.097
346,3904488,completed,1783546300.979,1783546302.096,595.610,596.727,1.117
347,3700009,completed,1783546302.097,1783546303.151,596.728,597.782,1.054
348,3158459,completed,1783546303.151,1783546304.284,597.782,598.915,1.133
349,2931787,completed,1783546304.285,1783546305.331,598.915,599.961,1.046
350,3824159,completed,1783546305.334,1783546306.451,599.965,601.082,1.117
351,2964952,completed,1783546306.452,1783546307.506,601.083,602.137,1.054
352,3524145,completed,1783546307.507,1783546309.364,602.138,603.995,1.857
353,3003916,completed,1783546309.364,1783546309.887,603.995,604.518,0.523
354,2769885,completed,1783546309.888,1783546312.341,604.519,606.972,2.453
355,4294277,completed,1783546312.344,1783546313.502,606.975,608.133,1.158
356,2699185,completed,1783546313.502,1783546317.306,608.133,611.937,3.804
357,2864733,completed,1783546317.307,1783546318.361,611.938,612.992,1.054
358,4196768,completed,1783546318.364,1783546320.864,612.995,615.495,2.500
359,2967896,completed,1783546320.865,1783546322.051,615.495,616.681,1.186
360,2920665,completed,1783546322.051,1783546323.724,616.682,618.355,1.673
361,4374789,completed,1783546323.727,1783546339.863,618.358,634.494,16.136
362,2964953,completed,1783546339.868,1783546341.553,634.499,636.184,1.685
363,3876036,completed,1783546341.553,1783546343.930,636.184,638.561,2.377
364,3178262,completed,1783546343.931,1783546346.323,638.562,640.954,2.392
365,3579018,completed,1783546346.328,1783546347.383,640.959,642.014,1.055
366,4237932,completed,1783546347.384,1783546348.447,642.015,643.078,1.063
367,2838538,completed,1783546348.447,1783546349.486,643.078,644.117,1.039
368,2882825,completed,1783546349.486,1783546351.892,644.117,646.523,2.406
369,3673983,completed,1783546351.897,1783546353.058,646.528,647.689,1.161
370,3524146,completed,1783546353.059,1783546355.019,647.689,649.649,1.960
371,3060153,completed,1783546355.019,1783546357.527,649.650,652.158,2.508
372,4115720,completed,1783546357.530,1783546358.636,652.161,653.267,1.106
373,3733692,completed,1783546358.636,1783546359.889,653.267,654.520,1.253
374,4406274,completed,1783546359.890,1783546361.346,654.521,655.977,1.456
375,4394373,completed,1783546361.346,1783546363.391,655.977,658.022,2.045
376,3712699,completed,1783546363.394,1783546365.384,658.025,660.015,1.990
377,3997207,completed,1783546365.385,1783546367.710,660.016,662.341,2.325
378,4233649,completed,1783546367.711,1783546369.082,662.342,663.713,1.371
379,3757552,completed,1783546369.085,1783546370.241,663.716,664.872,1.156
380,3204427,completed,1783546370.241,1783546372.459,664.872,667.090,2.218
381,4123523,completed,1783546372.460,1783546373.759,667.091,668.390,1.299
382,4226838,completed,1783546373.760,1783546374.903,668.391,669.534,1.143
383,4431494,completed,1783546374.906,1783546376.039,669.537,670.670,1.133
384,2817619,completed,1783546376.040,1783546378.603,670.671,673.234,2.563
385,4447662,completed,1783546378.604,1783546379.979,673.235,674.610,1.375
