,rps,latency
0,0.25,4719
1,0.25,2391
2,0.25,2126
3,0.25,1840
4,0.25,2049
5,0.25,1924
6,0.25,2554
7,0.25,1940
8,0.25,1767
9,0.25,1954
10,0.25,1980
11,0.25,1930
12,0.25,1993
13,0.25,1907
14,0.25,1872
15,0.5,1800
16,0.5,1979
17,0.5,1832
18,0.5,1742
19,0.5,1702
20,0.5,2326
21,0.5,2232
22,0.5,1808
23,0.5,1814
24,0.5,1784
25,0.5,1823
26,0.5,1749
27,0.5,1932
28,0.5,3711
29,0.5,3416
30,0.5,2495
31,0.5,3335
32,0.5,1582
33,0.5,1954
34,0.5,2750
35,0.5,1765
36,0.5,3131
37,0.5,2067
38,0.5,1544
39,0.5,1857
40,0.5,1767
41,0.5,1590
42,0.5,7868
43,0.5,2419
44,0.5,11932
45,0.75,2119
46,0.75,1739
47,0.75,1764
48,0.75,1738
49,0.75,1745
50,0.75,1891
51,0.75,2594
52,0.75,1651
53,0.75,1946
54,0.75,1763
55,0.75,2024
56,0.75,1600
57,0.75,2094
58,0.75,1735
59,0.75,1600
60,0.75,1685
61,0.75,1947
62,0.75,1813
63,0.75,1778
64,0.75,2410
65,0.75,1876
66,0.75,1714
67,0.75,1819
68,0.75,1790
69,0.75,1755
70,0.75,1706
71,0.75,1771
72,0.75,1673
73,0.75,1608
74,0.75,1717
75,0.75,2057
76,0.75,1559
77,0.75,1612
78,0.75,1663
79,0.75,1989
80,0.75,1721
81,0.75,2420
82,0.75,1637
83,0.75,1625
84,0.75,2102
85,0.75,1642
86,0.75,1868
87,0.75,1683
88,0.75,6569
89,0.75,1527
90,1.25,1541
91,1.25,1711
92,1.25,1799
93,1.25,1879
94,1.25,1746
95,1.25,1654
96,1.25,1772
97,1.25,1715
98,1.25,1743
99,1.25,1760
100,1.25,1553
101,1.25,2333
102,1.25,1626
103,1.25,1807
104,1.25,1669
105,1.25,1787
106,1.25,1655
107,1.25,1630
108,1.25,1605
109,1.25,1679
110,1.25,1724
111,1.25,1947
112,1.25,1775
113,1.25,1905
114,1.25,1674
115,1.25,1703
116,1.25,1646
117,1.25,1618
118,1.25,1665
119,1.25,1626
120,1.25,1723
121,1.25,1934
122,1.25,1584
123,1.25,1887
124,1.25,1977
125,1.25,1742
126,1.25,1701
127,1.25,1658
128,1.25,1642
129,1.25,1781
130,1.25,1810
131,1.25,1757
132,1.25,1745
133,1.25,1732
134,1.25,1675
135,1.25,1559
136,1.25,1689
137,1.25,1703
138,1.25,1669
139,1.25,1658
140,1.25,1643
141,1.25,1744
142,1.25,1660
143,1.25,1562
144,1.25,1667
145,1.25,1626
146,1.25,1593
147,1.25,1517
148,1.25,1759
149,1.25,1718
150,1.25,1640
151,1.25,2500
152,1.25,1731
153,1.25,1696
154,1.25,1857
155,1.25,1697
156,1.25,1695
157,1.25,1648
158,1.25,1629
159,1.25,1742
160,1.25,1856
161,1.25,1720
162,1.25,1981
163,1.25,1856
164,1.25,1762
165,1.5,1567
166,1.5,1604
167,1.5,2479
168,1.5,1889
169,1.5,1710
170,1.5,1832
171,1.5,1651
172,1.5,1691
173,1.5,1877
174,1.5,1779
175,1.5,1701
176,1.5,1741
177,1.5,1659
178,1.5,1683
179,1.5,1920
180,1.5,2208
181,1.5,1623
182,1.5,1654
183,1.5,1873
184,1.5,1911
185,1.5,1688
186,1.5,1814
187,1.5,1785
188,1.5,1967
189,1.5,1733
190,1.5,1615
191,1.5,1598
192,1.5,1738
193,1.5,1724
194,1.5,1755
195,1.5,1643
196,1.5,1626
197,1.5,1956
198,1.5,1730
199,1.5,1598
200,1.5,1820
201,1.5,2012
202,1.5,1703
203,1.5,1799
204,1.5,1806
205,1.5,10581
206,1.5,1731
207,1.5,1512
208,1.5,1615
209,1.5,1751
210,1.5,1774
211,1.5,1893
212,1.5,1670
213,1.5,2017
214,1.5,1662
215,1.5,1554
216,1.5,2381
217,1.5,1770
218,1.5,1821
219,1.5,1822
220,1.5,1819
221,1.5,1870
222,1.5,1662
223,1.5,1683
224,1.5,1882
225,1.5,1697
226,1.5,1607
227,1.5,1695
228,1.5,1906
229,1.5,1695
230,1.5,1572
231,1.5,1683
232,1.5,1641
233,1.5,1606
234,1.5,1685
235,1.5,1721
236,1.5,1776
237,1.5,1766
238,1.5,2029
239,1.5,1604
240,1.5,1515
241,1.5,1963
242,1.5,1666
243,1.5,1620
244,1.5,1566
245,1.5,1635
246,1.5,1633
247,1.5,1752
248,1.5,1997
249,1.5,1566
250,1.5,1568
251,1.5,1572
252,1.5,1590
253,1.5,1686
254,1.5,1587
255,1.75,1971
256,1.75,1738
257,1.75,1863
258,1.75,1602
259,1.75,1873
260,1.75,1898
261,1.75,1712
262,1.75,3545
263,1.75,1769
264,1.75,2726
265,1.75,2145
266,1.75,1864
267,1.75,1608
268,1.75,1909
269,1.75,1676
270,1.75,2762
271,1.75,2273
272,1.75,1802
273,1.75,1797
274,1.75,1624
275,1.75,1877
276,1.75,1903
277,1.75,1829
278,1.75,1667
279,1.75,1758
280,1.75,2344
281,1.75,1854
282,1.75,2065
283,1.75,1987
284,1.75,6675
285,1.75,2372
286,1.75,2352
287,1.75,6528
288,1.75,1949
289,1.75,1878
290,1.75,6255
291,1.75,2049
292,1.75,2233
293,1.75,2137
294,1.75,2640
295,1.75,7233
296,1.75,2792
297,1.75,7349
298,1.75,2052
299,1.75,2075
300,1.75,3367
301,1.75,2204
302,1.75,2151
303,1.75,13690
304,1.75,7424
305,1.75,1805
306,1.75,2007
307,1.75,2090
308,1.75,1768
309,1.75,1811
310,1.75,1743
311,1.75,1639
312,1.75,2363
313,1.75,2094
314,1.75,1865
315,1.75,1670
316,1.75,1920
317,1.75,1882
318,1.75,2146
319,1.75,1727
320,1.75,1886
321,1.75,1937
322,1.75,1946
323,1.75,1899
324,1.75,1974
325,1.75,1775
326,1.75,1926
327,1.75,1894
328,1.75,1644
329,1.75,2000
330,1.75,1900
331,1.75,1854
332,1.75,1756
333,1.75,1843
334,1.75,1697
335,1.75,1879
336,1.75,1696
337,1.75,1777
338,1.75,1802
339,1.75,1978
340,1.75,1958
341,1.75,1863
342,1.75,2010
343,1.75,2033
344,1.75,1737
345,1.75,3122
346,1.75,1892
347,1.75,2551
348,1.75,2387
349,1.75,1851
350,1.75,9135
351,1.75,1982
352,1.75,1860
353,1.75,1743
354,1.75,1864
355,1.75,1992
356,1.75,2004
357,1.75,1674
358,1.75,1601
359,1.75,8285
360,1.0,1792
361,1.0,1834
362,1.0,1900
363,1.0,2010
364,1.0,1922
365,1.0,1845
366,1.0,2010
367,1.0,1749
368,1.0,1880
369,1.0,1874
370,1.0,1727
371,1.0,1676
372,1.0,1884
373,1.0,1791
374,1.0,1792
375,1.0,1915
376,1.0,1918
377,1.0,1913
378,1.0,1602
379,1.0,1848
380,1.0,4239
381,1.0,1640
382,1.0,1961
383,1.0,1922
384,1.0,1838
385,1.0,1737
386,1.0,1708
387,1.0,1737
388,1.0,1875
389,1.0,1794
390,1.0,1823
391,1.0,1773
392,1.0,1626
393,1.0,1768
394,1.0,1705
395,1.0,1805
396,1.0,1806
397,1.0,1883
398,1.0,1935
399,1.0,1698
400,1.0,1822
401,1.0,1730
402,1.0,1839
403,1.0,1876
404,1.0,1822
405,1.0,1782
406,1.0,1688
407,1.0,1475
408,1.0,1848
409,1.0,1776
410,1.0,1740
411,1.0,1721
412,1.0,1559
413,1.0,1721
414,1.0,1878
415,1.0,1644
416,1.0,1793
417,1.0,1883
418,1.0,1960
419,1.0,1662
420,2.25,1735
421,2.25,2210
422,2.25,1618
423,2.25,2115
424,2.25,1915
425,2.25,2378
426,2.25,1981
427,2.25,2000
428,2.25,1937
429,2.25,2157
430,2.25,2169
431,2.25,2178
432,2.25,2114
433,2.25,2338
434,2.25,2425
435,2.25,2164
436,2.25,2599
437,2.25,2182
438,2.25,2105
439,2.25,2916
440,2.25,2755
441,2.25,2518
442,2.25,2846
443,2.25,2321
444,2.25,2541
445,2.25,2266
446,2.25,2157
447,2.25,2338
448,2.25,2429
449,2.25,2120
450,2.25,5858
451,2.25,2399
452,2.25,2139
453,2.25,2375
454,2.25,2428
455,2.25,2820
456,2.0,1640
457,2.0,1730
458,2.0,1834
459,2.0,2007
460,2.0,1851
461,2.0,1883
462,2.0,1907
463,2.0,1938
464,2.0,2238
465,2.0,1986
466,2.0,1796
467,2.0,1869
468,2.0,1930
469,2.0,1921
470,2.0,1829
471,2.0,1758
472,2.0,1813
473,2.0,2014
474,2.0,1933
475,2.0,1780
476,2.0,2232
477,2.0,1970
478,2.0,1728
479,2.0,2136
480,2.0,1877
481,2.0,1937
482,2.0,2093
483,2.0,1788
484,2.0,2263
485,2.0,2588
486,2.0,2001
487,2.0,2538
488,2.0,2237
489,2.0,2349
490,2.0,1877
491,2.0,12205
492,2.0,3833
493,2.0,10579
494,2.0,4983
495,2.0,3849
496,2.0,2606
497,2.0,2565
498,2.0,4664
499,2.0,4360
500,2.0,3309
501,2.0,2935
502,2.0,2543
503,2.0,2274
504,2.0,4043
505,2.0,12794
506,2.0,2916
507,2.0,3468
508,2.0,2464
509,2.0,4140
510,2.0,2220
511,2.0,2260
512,2.0,2662
513,2.0,2368
514,2.0,2066
515,2.0,2100
516,2.0,3998
517,2.0,2074
518,2.0,2308
519,2.0,1905
520,2.0,1762
521,2.0,1806
522,2.0,1674
523,2.0,4255
524,2.0,2130
525,2.0,2127
526,2.0,2492
527,2.0,2061
528,2.0,2296
529,2.0,1849
530,2.0,2285
531,2.0,1886
532,2.0,2280
533,2.0,1877
534,2.0,1871
535,2.0,1976
536,2.0,1855
537,2.0,2414
538,2.0,2020
539,2.0,1985
540,2.0,1878
541,2.0,1895
542,2.0,2067
543,2.0,2208
544,2.0,1943
545,2.0,1961
546,2.0,2330
547,2.0,2281
548,2.0,1885
549,2.0,1895
550,2.0,2024
551,2.0,2176
552,2.0,1920
553,2.0,2126
554,2.0,1730
555,2.0,1900
556,2.0,2197
557,2.0,10940
558,2.0,2402
559,2.0,2064
560,2.0,1887
561,2.0,1914
562,2.0,1793
