query_number,scale,Min,Mean,Max
1,100,1426.0,1587.3333333333333,1741.0
2,100,1581.0,1640.3333333333333,1720.0
3,100,3740.0,3782.0,3862.0
4,100,2532.0,2576.3333333333335,2657.0
5,100,5674.0,5960.666666666667,6312.0
6,100,1435.0,1579.6666666666667,1842.0
7,100,5305.0,5537.333333333333,5678.0
8,100,7376.0,7674.333333333333,8165.0
9,100,14105.0,14122.0,14139.0
10,100,8357.0,10834.5,13312.0
11,100,1339.0,1378.3333333333333,1415.0
12,100,1999.0,2098.3333333333335,2152.0
13,100,2578.0,2643.3333333333335,2683.0
14,100,1909.0,1953.0,2010.0
15,100,1993.0,2010.6666666666667,2040.0
16,100,3543.0,3579.6666666666665,3640.0
17,100,6535.0,6625.666666666667,6783.0
18,100,6634.0,7047.666666666667,7429.0
19,100,2408.0,2451.6666666666665,2485.0
20,100,3092.0,3139.6666666666665,3189.0
21,100,11575.0,11673.0,11726.0
22,100,2121.0,2325.6666666666665,2674.0
