query_number,scale,Min,Mean,Max
1,1,1191,1598.2,4534
1,10,1081,1188.0,1831
1,100,1910,2129.1,3249
1,1000,9396,10539.3,14991
2,1,642,896.6,2101
2,10,1531,1856.6,3031
2,100,1899,2128.8,2851
2,1000,14149,17327.9,33309
3,1,1300,1569.1,2435
3,10,1371,1526.3,2026
3,100,2943,3070.3,3798
3,1000,23973,28906.6,40318
4,1,1354,1442.0,1628
4,10,1239,1318.1,1487
4,100,2053,2127.8,2222
4,1000,10859,13380.6,16731
5,1,1377,1550.3,1837
5,10,1464,1931.9,4947
5,100,5475,5737.4,6496
5,1000,49034,53326.0,69228
6,1,1448,1526.8,1676
6,10,1343,1359.3,1398
6,100,2351,2548.1,2747
6,1000,11485,11889.0,13314
7,1,1515,1759.8,2168
7,10,3425,3747.5,4644
7,100,9043,9331.8,9565
7,1000,27244,30687.2,36542
8,1,1472,1607.6,1765
8,10,1734,1944.8,2507
8,100,6711,8067.9,15896
8,1000,62501,71291.1,132298
9,1,959,1150.5,1683
9,10,1537,3655.3,11649
9,100,8507,8803.8,9235
9,1000,77924,80689.0,85678
10,1,1290,1676.8,3886
10,10,1409,1536.4,1783
10,100,3371,3587.4,4146
10,1000,23753,28660.9,37080
11,1,517,641.2,843
11,10,749,851.0,958
11,100,1618,1712.8,1872
11,1000,10125,11580.7,12648
12,1,1533,1607.2,1744
12,10,1392,1445.9,1555
12,100,3221,3357.3,3503
12,1000,16839,18637.5,21623
13,1,863,1027.5,1114
13,10,937,1008.7,1084
13,100,2126,2246.1,2347
13,1000,17397,18747.5,19924
14,1,1137,1225.2,1364
14,10,1074,1097.5,1161
14,100,1945,2018.9,2176
14,1000,10645,11248.1,12168
15,1,1150,1222.1,1281
15,10,1090,1121.9,1189
15,100,2824,2997.8,3104
15,1000,19201,21199.2,24359
16,1,591,709.2,982
16,10,1889,2015.4,2188
16,100,2380,2538.5,2920
16,1000,6952,8699.1,17222
17,1,611,723.3,941
17,10,1893,2007.6,2157
17,100,5487,5713.8,5991
17,1000,34516,38022.8,41260
18,1,793,939.8,1053
18,10,1107,1204.8,1546
18,100,5714,5986.5,6603
18,1000,46259,47772.0,49558
19,1,1328,1424.2,1557
19,10,1253,1311.6,1376
19,100,2354,2474.4,2963
19,1000,13338,15667.1,18470
20,1,1377,1438.4,1587
20,10,1301,1391.8,1468
20,100,2877,3018.1,3152
20,1000,19132,23491.2,28158
21,1,1244,1538.9,2053
21,10,4957,5410.4,6040
21,100,15535,16325.5,19416
21,1000,58909,61273.5,64153
22,1,1198,1306.1,1689
22,10,2425,2521.5,2627
22,100,2584,2641.5,2774
22,1000,5688,6172.4,7005
